ImageName;NoiseLevel;FilterSize;MSE;PSNR;SSIM
capibara;0.0500;3;127.69;27.07;0.9706
capibara;0.0500;5;89.38;28.62;0.9789
capibara;0.0500;7;101.69;28.06;0.9756
dog;0.0500;3;126.62;27.11;0.9817
dog;0.0500;5;79.72;29.12;0.9883
dog;0.0500;7;88.66;28.65;0.9869
Hedgehog;0.0500;3;272.26;23.78;0.9290
Hedgehog;0.0500;5;267.34;23.86;0.9282
Hedgehog;0.0500;7;280.94;23.64;0.9236
kotik;0.0500;3;138.10;26.73;0.9838
kotik;0.0500;5;80.94;29.05;0.9906
kotik;0.0500;7;78.31;29.19;0.9908
minipig;0.0500;3;126.81;27.10;0.9782
minipig;0.0500;5;75.76;29.34;0.9869
minipig;0.0500;7;74.73;29.40;0.9870
